x,y,z,r,g,b,size,mag,dist_pc,name
-3.902788986613108,4.6845251695083165,13.08830826419873,1.0,0.9591283988952637,0.8479299473762513,3.1637683,5.4989767,14.438848678356536,
-9.809159064262586,3.654653037048238,42.52337315044605,1.0,0.8014167785644531,0.5568595218658448,0.355871,10.243537,43.79284592786003,
-5.727732900759809,3.8800925855782604,40.45595036900125,1.0,0.7314201354980469,0.46498892784118656,0.23988335,11.099999,41.0432206693651,
-2.524639900832421,9.030806087893222,48.98923281568502,0.996287317276001,0.9612375609079996,0.8685634136199951,0.9256038,8.167874,49.87859457818949,
-1.978444530860906,0.6497523412951614,35.47789837526887,1.0,0.7945582071940104,0.5478576469421387,0.42127222,9.877186,35.53896022666698,
-15.143435328262342,-26.17292130855788,29.26858581670401,1.0,0.6720716079076131,0.4218068281809489,0.25625667,10.956624,42.083198061399685,
-5.311890712821315,-23.105712115460573,29.95154527535646,1.0,0.69045991897583,0.43262348175048826,0.24474886,11.0563965,38.19928244992603,
-25.573950541922194,-18.656840291443764,28.38317843826224,1.0,0.6810203472773234,0.4270707925160726,0.17941919,11.730656,42.517166582915145,
-18.987311275160554,-10.982046683903194,21.79044078255663,1.0,0.766162618001302,0.510588436126709,0.45072535,9.73044,30.9183868972069,
-21.680627830643473,-13.973007646701898,24.142837465196834,1.0,0.8110458374023437,0.5694976615905762,0.478712,9.599628,35.329465983744704,
-17.623671292140486,-11.92974836066551,22.106518959268048,0.8340283870697022,0.869810390472412,1.0,5.8370194,4.1690445,30.685678520422126,
-31.87855133895748,-3.924849592762911,31.88667906872798,1.0,0.9568256568908691,0.8424609351158142,1.0576876,7.878213,45.25932811949835,
-31.93324891512954,-3.9307433642172276,31.94405565290752,0.9899627876281738,0.9633457374572754,0.9001860618591309,1.3818693,7.297665,45.33878936657895,
-25.58231266187087,-9.036718086403019,27.690713453600864,1.0,0.9184668731689453,0.7513588237762451,0.80654323,8.466862,38.767158865104804,
-14.661556906339865,-6.86836388880391,19.65213091152548,1.0,0.7338874816894532,0.4682273197174073,0.43164232,9.82438,25.4625592348963,
-9.141217848891094,-14.783337494101394,23.809699771274804,1.0,0.9189022254943847,0.7523927855491638,0.9721355,8.061366,29.47898801559566,
-18.251184835367468,-11.966570130041646,31.547826999406144,1.0,0.8946755599975585,0.6948544549942017,0.6287651,9.007558,38.36104713060387,
-5.855932199261808,-6.079092444290118,14.84969183701139,1.0,0.6684316396713257,0.41966567039489744,0.3770582,10.117958,17.081002737625774,
-4.102786168756954,-19.529770704469794,38.95489447214437,0.8880596733093262,0.909622917175293,1.0,3.1531157,5.5063004,43.769037017640834,
-1.53229617241425,-14.513262961148584,37.10716589750426,1.0,0.917262954711914,0.7484995174407959,0.6644984,8.88753,39.8738572787277,
-11.833296480271267,-2.0742648553013097,35.014029410270766,1.0,0.8476671854654948,0.617563180923462,0.48368508,9.577187,37.01772191563447,
-3.4266616276759336,-2.8052192412665162,17.262120460141873,1.0,0.6370702505111694,0.40121779441833494,0.18572262,11.655676,17.821112975417872,
-2.9649055032579175,-7.5485048917221045,32.485448586670195,1.0,0.8236910502115885,0.58609450340271,0.50176316,9.497506,33.482457505696836,
-2.5591902311731527,-7.339658292528985,35.105037929743034,0.9773203086853027,0.9675598971048991,0.9633984565734863,2.609655,5.9170847,35.9553017862334,
37.567147908800834,-31.19712594283989,7.989912610407746,1.0,0.9533564758300781,0.8342216300964356,0.7786262,8.543355,49.481208277659164,
20.282279521755505,-17.98487625008882,4.180487700988646,1.0,0.6585267702738444,0.4138392766316732,0.22833996,11.20709,27.428144555323993,
41.229852576963395,-20.90139912267099,14.187867196081212,1.0,0.7191451708475749,0.4494971593221029,0.242977,11.072174,48.35353972954787,
30.47971563983699,-27.987118502361444,14.418762408041774,0.9841146183013916,0.9652951272328695,0.929426908493042,1.7036514,6.8430963,43.82000201882816,
